,species,year,abundance
879,Phoebis sennae,2014,34
921,Phoebis sennae,2015,34
962,Phoebis sennae,2016,44
1007,Phoebis sennae,2017,86
1052,Phoebis sennae,2018,40
1091,Phoebis sennae,2019,53
1134,Phoebis sennae,2020,133
30,Phyciodes tharos,1993,28
61,Phyciodes tharos,1994,27
92,Phyciodes tharos,1995,28
121,Phyciodes tharos,1996,63
155,Phyciodes tharos,1997,73
196,Phyciodes tharos,1998,129
234,Phyciodes tharos,1999,52
279,Phyciodes tharos,2000,93
321,Phyciodes tharos,2001,39
363,Phyciodes tharos,2002,66
403,Phyciodes tharos,2003,54
449,Phyciodes tharos,2004,56
491,Phyciodes tharos,2005,51
529,Phyciodes tharos,2006,58
569,Phyciodes tharos,2007,51
610,Phyciodes tharos,2008,48
658,Phyciodes tharos,2009,83
707,Phyciodes tharos,2010,81
752,Phyciodes tharos,2011,47
797,Phyciodes tharos,2012,88
839,Phyciodes tharos,2013,63
880,Phyciodes tharos,2014,85
922,Phyciodes tharos,2015,73
963,Phyciodes tharos,2016,67
1008,Phyciodes tharos,2017,130
1053,Phyciodes tharos,2018,112
1092,Phyciodes tharos,2019,73
1135,Phyciodes tharos,2020,149
31,Pieris rapae,1993,22
62,Pieris rapae,1994,15
93,Pieris rapae,1995,20
122,Pieris rapae,1996,32
156,Pieris rapae,1997,43
197,Pieris rapae,1998,60
235,Pieris rapae,1999,27
280,Pieris rapae,2000,51
322,Pieris rapae,2001,20
364,Pieris rapae,2002,28
404,Pieris rapae,2003,33
450,Pieris rapae,2004,41
492,Pieris rapae,2005,21
530,Pieris rapae,2006,25
570,Pieris rapae,2007,39
611,Pieris rapae,2008,28
659,Pieris rapae,2009,51
708,Pieris rapae,2010,63
753,Pieris rapae,2011,29
798,Pieris rapae,2012,45
840,Pieris rapae,2013,34
881,Pieris rapae,2014,64
923,Pieris rapae,2015,56
964,Pieris rapae,2016,47
1009,Pieris rapae,2017,71
1054,Pieris rapae,2018,45
1093,Pieris rapae,2019,22
1136,Pieris rapae,2020,60
94,Polites origenes,1995,13
157,Polites origenes,1997,20
198,Polites origenes,1998,14
236,Polites origenes,1999,17
281,Polites origenes,2000,14
323,Polites origenes,2001,21
365,Polites origenes,2002,16
405,Polites origenes,2003,13
451,Polites origenes,2004,20
531,Polites origenes,2006,14
571,Polites origenes,2007,21
612,Polites origenes,2008,16
660,Polites origenes,2009,26
709,Polites origenes,2010,28
754,Polites origenes,2011,11
799,Polites origenes,2012,17
1010,Polites origenes,2017,24
1055,Polites origenes,2018,15
1094,Polites origenes,2019,10
1137,Polites origenes,2020,13
32,Polygonia comma,1993,28
63,Polygonia comma,1994,15
95,Polygonia comma,1995,10
123,Polygonia comma,1996,12
199,Polygonia comma,1998,36
237,Polygonia comma,1999,26
282,Polygonia comma,2000,37
324,Polygonia comma,2001,26
366,Polygonia comma,2002,15
406,Polygonia comma,2003,17
452,Polygonia comma,2004,15
493,Polygonia comma,2005,17
532,Polygonia comma,2006,20
613,Polygonia comma,2008,15
661,Polygonia comma,2009,33
710,Polygonia comma,2010,48
755,Polygonia comma,2011,24
800,Polygonia comma,2012,13
841,Polygonia comma,2013,14
882,Polygonia comma,2014,20
924,Polygonia comma,2015,10
965,Polygonia comma,2016,19
1011,Polygonia comma,2017,41
1056,Polygonia comma,2018,17
1138,Polygonia comma,2020,21
33,Polygonia interrogationis,1993,28
64,Polygonia interrogationis,1994,25
96,Polygonia interrogationis,1995,23
124,Polygonia interrogationis,1996,21
158,Polygonia interrogationis,1997,50
200,Polygonia interrogationis,1998,75
238,Polygonia interrogationis,1999,23
283,Polygonia interrogationis,2000,72
325,Polygonia interrogationis,2001,33
367,Polygonia interrogationis,2002,24
407,Polygonia interrogationis,2003,45
453,Polygonia interrogationis,2004,36
494,Polygonia interrogationis,2005,18
533,Polygonia interrogationis,2006,30
572,Polygonia interrogationis,2007,31
614,Polygonia interrogationis,2008,27
662,Polygonia interrogationis,2009,51
711,Polygonia interrogationis,2010,76
756,Polygonia interrogationis,2011,25
801,Polygonia interrogationis,2012,36
842,Polygonia interrogationis,2013,27
883,Polygonia interrogationis,2014,26
925,Polygonia interrogationis,2015,15
966,Polygonia interrogationis,2016,39
1012,Polygonia interrogationis,2017,34
1057,Polygonia interrogationis,2018,27
1095,Polygonia interrogationis,2019,19
1139,Polygonia interrogationis,2020,46
34,Pompeius verna,1993,15
65,Pompeius verna,1994,10
159,Pompeius verna,1997,14
201,Pompeius verna,1998,24
239,Pompeius verna,1999,28
284,Pompeius verna,2000,17
326,Pompeius verna,2001,19
368,Pompeius verna,2002,19
454,Pompeius verna,2004,26
495,Pompeius verna,2005,10
534,Pompeius verna,2006,15
573,Pompeius verna,2007,14
663,Pompeius verna,2009,27
712,Pompeius verna,2010,38
757,Pompeius verna,2011,16
802,Pompeius verna,2012,19
843,Pompeius verna,2013,15
884,Pompeius verna,2014,18
926,Pompeius verna,2015,15
967,Pompeius verna,2016,21
1013,Pompeius verna,2017,15
1058,Pompeius verna,2018,21
1096,Pompeius verna,2019,14
1140,Pompeius verna,2020,24
35,Pyrgus communis,1993,10
125,Pyrgus communis,1996,13
160,Pyrgus communis,1997,13
202,Pyrgus communis,1998,23
240,Pyrgus communis,1999,23
285,Pyrgus communis,2000,20
327,Pyrgus communis,2001,18
369,Pyrgus communis,2002,27
408,Pyrgus communis,2003,23
455,Pyrgus communis,2004,15
496,Pyrgus communis,2005,22
535,Pyrgus communis,2006,20
574,Pyrgus communis,2007,34
615,Pyrgus communis,2008,20
664,Pyrgus communis,2009,22
713,Pyrgus communis,2010,34
758,Pyrgus communis,2011,21
803,Pyrgus communis,2012,22
844,Pyrgus communis,2013,14
885,Pyrgus communis,2014,37
927,Pyrgus communis,2015,30
968,Pyrgus communis,2016,27
1014,Pyrgus communis,2017,56
1059,Pyrgus communis,2018,50
1097,Pyrgus communis,2019,38
1141,Pyrgus communis,2020,82
241,Speyeria cybele,1999,10
286,Speyeria cybele,2000,14
370,Speyeria cybele,2002,11
456,Speyeria cybele,2004,13
536,Speyeria cybele,2006,13
575,Speyeria cybele,2007,23
616,Speyeria cybele,2008,12
665,Speyeria cybele,2009,15
714,Speyeria cybele,2010,28
759,Speyeria cybele,2011,14
886,Speyeria cybele,2014,14
1015,Speyeria cybele,2017,14
1060,Speyeria cybele,2018,22
1142,Speyeria cybele,2020,14
36,Strymon melinus,1993,19
66,Strymon melinus,1994,16
97,Strymon melinus,1995,18
126,Strymon melinus,1996,17
161,Strymon melinus,1997,14
203,Strymon melinus,1998,20
242,Strymon melinus,1999,19
287,Strymon melinus,2000,40
328,Strymon melinus,2001,13
371,Strymon melinus,2002,33
409,Strymon melinus,2003,21
457,Strymon melinus,2004,18
497,Strymon melinus,2005,15
537,Strymon melinus,2006,16
576,Strymon melinus,2007,18
617,Strymon melinus,2008,22
666,Strymon melinus,2009,30
715,Strymon melinus,2010,43
760,Strymon melinus,2011,15
804,Strymon melinus,2012,36
845,Strymon melinus,2013,14
887,Strymon melinus,2014,33
928,Strymon melinus,2015,32
969,Strymon melinus,2016,35
1016,Strymon melinus,2017,42
1061,Strymon melinus,2018,41
1098,Strymon melinus,2019,32
1143,Strymon melinus,2020,54
37,Thorybes bathyllus,1993,10
127,Thorybes bathyllus,1996,10
243,Thorybes bathyllus,1999,13
288,Thorybes bathyllus,2000,18
329,Thorybes bathyllus,2001,20
372,Thorybes bathyllus,2002,15
410,Thorybes bathyllus,2003,12
458,Thorybes bathyllus,2004,21
577,Thorybes bathyllus,2007,11
618,Thorybes bathyllus,2008,10
667,Thorybes bathyllus,2009,11
716,Thorybes bathyllus,2010,11
1144,Thorybes bathyllus,2020,13
38,Vanessa atalanta,1993,21
67,Vanessa atalanta,1994,14
98,Vanessa atalanta,1995,13
162,Vanessa atalanta,1997,11
204,Vanessa atalanta,1998,40
244,Vanessa atalanta,1999,12
289,Vanessa atalanta,2000,36
330,Vanessa atalanta,2001,42
373,Vanessa atalanta,2002,29
411,Vanessa atalanta,2003,12
459,Vanessa atalanta,2004,18
498,Vanessa atalanta,2005,15
538,Vanessa atalanta,2006,12
578,Vanessa atalanta,2007,36
619,Vanessa atalanta,2008,14
668,Vanessa atalanta,2009,26
717,Vanessa atalanta,2010,71
761,Vanessa atalanta,2011,18
805,Vanessa atalanta,2012,49
846,Vanessa atalanta,2013,28
888,Vanessa atalanta,2014,29
929,Vanessa atalanta,2015,40
970,Vanessa atalanta,2016,38
1017,Vanessa atalanta,2017,53
1062,Vanessa atalanta,2018,41
1099,Vanessa atalanta,2019,27
1145,Vanessa atalanta,2020,36
39,Vanessa virginiensis,1993,23
68,Vanessa virginiensis,1994,22
99,Vanessa virginiensis,1995,32
128,Vanessa virginiensis,1996,37
163,Vanessa virginiensis,1997,37
205,Vanessa virginiensis,1998,58
245,Vanessa virginiensis,1999,29
290,Vanessa virginiensis,2000,77
331,Vanessa virginiensis,2001,36
374,Vanessa virginiensis,2002,49
412,Vanessa virginiensis,2003,46
460,Vanessa virginiensis,2004,64
499,Vanessa virginiensis,2005,34
539,Vanessa virginiensis,2006,42
579,Vanessa virginiensis,2007,65
620,Vanessa virginiensis,2008,69
669,Vanessa virginiensis,2009,58
718,Vanessa virginiensis,2010,60
762,Vanessa virginiensis,2011,30
806,Vanessa virginiensis,2012,55
847,Vanessa virginiensis,2013,69
889,Vanessa virginiensis,2014,62
930,Vanessa virginiensis,2015,46
971,Vanessa virginiensis,2016,49
1018,Vanessa virginiensis,2017,94
1063,Vanessa virginiensis,2018,55
1100,Vanessa virginiensis,2019,56
1146,Vanessa virginiensis,2020,83
164,Wallengrenia otho,1997,10
206,Wallengrenia otho,1998,11
246,Wallengrenia otho,1999,14
291,Wallengrenia otho,2000,17
375,Wallengrenia otho,2002,10
413,Wallengrenia otho,2003,13
461,Wallengrenia otho,2004,13
500,Wallengrenia otho,2005,12
540,Wallengrenia otho,2006,14
580,Wallengrenia otho,2007,13
621,Wallengrenia otho,2008,14
670,Wallengrenia otho,2009,21
719,Wallengrenia otho,2010,26
848,Wallengrenia otho,2013,12
890,Wallengrenia otho,2014,12
1019,Wallengrenia otho,2017,10
1147,Wallengrenia otho,2020,18
